iter	Passed	Remaining
976	5274	48711
977	5280	48707
978	5286	48716
979	5294	48732
980	5303	48755
981	5308	48746
982	5312	48730
983	5316	48716
984	5321	48701
985	5325	48688
986	5329	48671
987	5334	48657
988	5338	48643
989	5343	48630
990	5347	48616
991	5352	48601
992	5356	48589
993	5361	48575
994	5365	48560
995	5370	48546
996	5374	48532
997	5379	48520
998	5383	48503
999	5387	48490
1000	5392	48477
1001	5396	48463
1002	5400	48447
1003	5405	48433
1004	5409	48419
1005	5413	48403
1006	5418	48387
1007	5422	48373
1008	5426	48357
1009	5431	48342
1010	5435	48329
1011	5440	48315
1012	5444	48300
1013	5447	48279
1014	5452	48263
1015	5457	48255
1016	5463	48257
1017	5469	48258
1018	5475	48260
1019	5483	48276
1020	5491	48296
1021	5495	48280
1022	5500	48264
1023	5504	48250
1024	5509	48237
1025	5513	48224
1026	5517	48208
1027	5522	48196
1028	5526	48182
1029	5531	48168
1030	5535	48155
1031	5538	48128
1032	5542	48113
1033	5547	48100
1034	5551	48087
1035	5556	48074
1036	5560	48060
1037	5564	48046
1038	5569	48034
1039	5573	48019
1040	5578	48008
1041	5582	47994
1042	5587	47982
1043	5591	47968
1044	5596	47954
1045	5600	47942
1046	5605	47929
1047	5609	47914
1048	5613	47900
1049	5618	47888
1050	5622	47876
1051	5627	47863
1052	5631	47852
1053	5636	47838
1054	5640	47823
1055	5646	47821
1056	5651	47814
1057	5656	47811
1058	5662	47807
1059	5668	47806
1060	5679	47849
1061	5683	47836
1062	5688	47823
1063	5694	47822
1064	5699	47817
1065	5704	47812
1066	5709	47800
1067	5713	47786
1068	5718	47774
1069	5722	47760
1070	5727	47748
1071	5731	47736
1072	5736	47723
1073	5740	47709
1074	5744	47694
1075	5749	47680
1076	5753	47668
1077	5757	47655
1078	5762	47642
1079	5766	47628
1080	5771	47615
1081	5775	47602
1082	5779	47590
1083	5784	47579
1084	5789	47567
1085	5793	47553
1086	5797	47541
1087	5802	47526
1088	5806	47512
1089	5810	47500
1090	5815	47487
1091	5819	47474
1092	5824	47460
1093	5828	47447
1094	5833	47438
1095	5840	47446
1096	5845	47439
1097	5850	47434
1098	5861	47474
1099	5866	47467
1100	5871	47454
1101	5875	47442
1102	5880	47430
1103	5884	47417
1104	5888	47402
1105	5893	47391
1106	5897	47377
1107	5901	47363
1108	5910	47382
1109	5916	47386
1110	5922	47389
1111	5928	47383
1112	5933	47379
1113	5938	47372
1114	5943	47360
1115	5947	47346
1116	5951	47332
1117	5956	47320
1118	5960	47307
1119	5965	47295
1120	5969	47283
1121	5974	47272
1122	5978	47260
